Date of Article,Company / Person,Followers,text,PTR Sentiment,Flair Sentiment,Flair Score
11/12/2024,TSMC,"628,491 followers","Yesterday,  hashtag #ESMC- TSMC's joint venture with Bosch, Infineon Technologies, and NXP Semiconductors - held a groundbreaking ceremony to officially mark the initial phase of land preparation for its first semiconductor fab in , . The event brought together government officials, customers, suppliers, business partners, and academia, to celebrate a milestone in the establishment of the EU's first-ever FinFET-capable pure-play foundry.  Distinguished guests included president of the European Commission Ursula von der Leyen, German Chancellor Olaf Scholz, and Saxony Minister President Michael Kretschmer and Lord Mayor of Dresden, Dirk Hilbert. In a demonstration of dedicated support, during the event, President von der Leyen announced that the European Commission has approved, under EU State aid rules, a €5 billion German measure to support ESMC in the construction and operation of the semiconductor fab.  To learn more, click here:",0.5174,POSITIVE,0.9981
11/12/2024,TSMC,"628,491 followers","TSMC is committed to building a green, low-carbon supply chain by innovating chemical material packaging and collaborating with suppliers. As of July 2024, we've effectively implemented new drum packaging materials in three of our fabs, and by 2025, TSMC expects to reduce chemical residue by 3.2M liters annually and cut carbon emissions by 570 tons. This initiative aims to enhance environmental friendliness and protect human health. Click to learn more!",0.5237,POSITIVE,0.9988
11/12/2024,TSMC,"628,491 followers","Exciting times at TSMC! For 25 years, we've published non-financial reports, and this July, we released our first Human Rights Report and Sustainability Impact Valuation Report! Plus, our new Climate and Nature Report combines TCFD and TNFD insights. In addition, we updated our UN SDGs Action Report, Materiality Analysis Report, and Sustainability Highlight Report.",0.5254,POSITIVE,0.9994
11/5/2024,TSMC,"628,491 followers","Discover TSMC's approach to addressing Environmental, Social, and Governance (ESG) issues! Explore our recently released 2023 Sustainability Report! This report showcases TSMC's dedication to sustainability by implementing innovation, sustainable practices, and community engagement that align with UN Sustainable Development Goals. Click to learn more!",0.5064,POSITIVE,0.9998
11/5/2024,TSMC,"628,491 followers","As a founding member of the Cloud Alliance under TSMC’s  hashtag #OpenInnovationPlatform, we were excited to participate in the 2024 AWS Summit Taipei, celebrating the launch of AWS's new data center in Taiwan.  TSMC's Open Innovation Platform is a groundbreaking ecosystem that fosters collaboration and accelerates technological advancements, enabling seamless innovation across various sectors. With the Cloud Alliance, TSMC leverages the immense flexibility and power of cloud technology to enhance customer productivity and drive industry growth.  Dan Kochpatcharin, Head of the Ecosystem and Alliances Management Division at TSMC, represented the company and our valued partner relationships at the event, sharing his valuable insights on TSMC's collaboration with AWS in advancing chip design solutions, nurturing talent, and optimizing computing resources. This powerful ecosystem exemplifies how two industry leaders from distinct domains can synergize to drive innovation and growth.  We extend our heartfelt congratulations to AWS on this significant milestone, highlighting the burgeoning strength of Taiwan's tech industry. Together, we anticipate more breakthroughs and a bright technological future for Taiwan.",0.5313,POSITIVE,0.9994
11/5/2024,TSMC,"628,491 followers","Don't miss out on a deep dive into the future of semiconductor technology. The registration deadline is almost here!  🔗Register Now:  Whether you're a student aiming to broaden your knowledge or a professional seeking to stay ahead of the curve, this Technical Talk is an invaluable opportunity to connect with TSMC's thought leaders and like-minded peers from around the globe. Act now! This is your final reminder to register before the deadline and ensure your participation in this premier virtual event. Let's embark on a journey of learning and discovery together.",0.5121,POSITIVE,0.9994
11/5/2024,TSMC,"628,491 followers","This National Intern Day, we at TSMC  hashtag #Washington celebrate our interns who have spearheaded numerous initiatives throughout the year. They partnered with Washington State University-Vancouver to help plan a Women in STEM event, which showcased the inspiring journeys of women in the industry and promoted STEM careers. They also helped host a STEM boot camp with i-Urban Teen and Cascade Middle School, using conductive play dough to spark curiosity with lights, fans, and even noisemakers.  In alignment with TSMC's zero-waste goals, the interns also conducted a waste audit to identify areas for improvement in our recycling systems and solutions, promoting a more sustainable future.  We're incredibly proud of our interns' dedication, innovation, and positive impact. Thank you for making a difference at TSMC Washington!",0.5244,POSITIVE,0.9964
11/5/2024,TSMC,"628,491 followers","Today is National Intern Day – a day focused on recognizing and celebrating future leaders. At TSMC  hashtag #Arizona, we celebrate our 130 summer interns representing 40 U.S. universities. These interns have been focused on tackling real-world semiconductor manufacturing challenges alongside our seasoned team of TSMC managers and engineers as we prepare to start operations in the first half of 2025. We have loved teaching and learning alongside them and are proud of the progress we have made together.  This month, our interns also brought their energy to our local community. Joining with the Boys & Girls Clubs of the Valley, these interns and the Club kids worked together to design and build robotic vehicles – mBots - and race them in a friendly competition. This was a great opportunity for our employees and interns to serve and collaborate with a wonderful organization, while possibly sparking a child’s future interest in STEM.  Thank you to thefor welcoming us, and to all our committed and passionate interns who have made our summer so enjoyable!",0.5143,POSITIVE,0.9978
11/5/2024,TSMC,"628,491 followers","In 2001, Kunqu, a traditional Chinese opera form, was proclaimed one of the Masterpieces of the Oral and Intangible Heritage of Humanity by UNESCO. To increase the public’s interest in artistic appreciation and theatre, the TSMC Education and Culture Foundation endorses artists, schools, and students by organizing performances, preserving heritage, and funding arts programs. Click to learn more!",0.5157,POSITIVE,0.9998
11/5/2024,TSMC,"628,491 followers","The TSMC Charity Foundation supports educational empowerment by organizing projects like vocational training and job fairs for rural students. In collaboration with local governments and senior high schools, we’ve conducted workshops and expos benefiting over 1,500 students, parents, and teachers, providing insights into technical education and future career paths. Click to learn more!",0.5075,POSITIVE,0.9972
11/5/2024,TSMC,"628,491 followers","Are you a STEM student fascinated by the intricacies of semiconductor technology? Do you envision a future shaping the microelectronics that power our world?  Join us for the ""2024 TSMC Virtual Technical Talk: Exploring Diverse Paths in Semiconductor Technology"" - an enlightening journey into the cutting-edge processes and technologies that are at the heart of today's digital revolution!    Date: Thursday, August 1  Time: 9 – 10:30 am (GMT+8)    Whether you're curious about the latest trends, or considering a career with a global leader in semiconductor design and manufacturing, this is your opportunity to connect with the pioneers at the forefront of innovation.  Ready to be part of the conversation? Click the link to register and secure your spot in this exclusive event! ➡️",0.5262,POSITIVE,0.9979
11/5/2024,TSMC,"628,491 followers","TSMC is all about taking care of our employees physically and mentally! The Company places high value on employee well-being through health check-ups and diversity campaigns that promote psychological safety. With a specific emphasis on mental health, counseling services and resources are provided to assist employees in navigating obstacles in life. In 2024, enhancements were made to the Employee Assistance Programs, offering additional counseling options and flexible scheduling. Click to learn more!",0.5299,POSITIVE,0.9912
10/29/2024,TSMC,"628,491 followers","TSMC TechSymposium is one of our significant events in the first half of the year. We want to express our heartfelt thanks to everyone who joined  hashtag #TechSymposium24.   This year, we focused on ""Powering AI with Silicon Leadership."" By showcasing our latest advanced logic, specialty, and 3DIC technologies, TSMC remains a trustworthy and reliable partner, gathering all valued silicon stakeholders to develop a prosperous AI ecosystem.  We invite you to watch this video to gain insights from our global executives. Once again, thank you for attending this year’s event. TSMC is committed to leading AI development and bringing all of you along to explore this infinite new era.  Looking forward to seeing you next year!",0.56,POSITIVE,0.998
10/29/2024,TSMC,"628,491 followers","TSMC is dedicated to establishing an environmentally friendly, low-carbon supply chain to support sustainable growth. In response to the increasing demand for hydrogen from advanced processes, TSMC encourages suppliers to recycle carbon dioxide emitted from the natural gas production process into electronic-grade liquid carbon dioxide for reuse at TSMC. As of June 2024, TSMC has reused over 35,000 metric tons of electronic-grade liquid carbon dioxide, while suppliers have cut carbon emissions by 38,000 metric tons annually using carbon-neutral natural gas. In addition, we've assisted suppliers in purchasing carbon-neutral gas and have adopted underground pipelines to supply hydrogen directly to the Southern Taiwan Science Park, eliminating the need for over 5,200 hydrogen tank truck rides. All of these demonstrate TSMC's dedication to benefiting the industry. Click to learn more!",0.516,POSITIVE,0.9968
10/29/2024,TSMC,"628,491 followers","Thank you for joining us at our Japan  hashtag #TSMCTechSymposium24 in Yokohama! This year, we achieved record-high attendance with over 500 attendees gathering to witness the blossoming AI development driven by the silicon industry.  Don't miss out on this video to recap the wonderful moments from the event!  We look forward to seeing you again next year. Stay tuned to see how AI will be continually empowered by our silicon leadership and leading-edge technologies.",0.5617,POSITIVE,0.9996
10/29/2024,TSMC,"628,491 followers","We recently welcomed U.S. Senator Mark Kelly to TSMC Arizona in Phoenix. Greeted by TSMC Arizona CEO YL Wang and President Brian Harrison, Senator Kelly was able to see up close the tremendous progress we are making preparing our first fab for production start in first-half 2025, the construction of our second fab and the planned location of our recently announced third fab. He also had the opportunity to engage with our facilities technician apprentices, who have been trained and recruited through our locally-focused workforce development program and now play a crucial role in supporting our operations.  Senator Kelly was a key leader in the passage of the CHIPS Act, and we want to thank him for his support of our efforts to bring the most advanced semiconductor manufacturing to the United States.",0.5205,POSITIVE,0.9989
10/29/2024,TSMC,"628,491 followers","Today, we concluded our final stop of  hashtag #TSMCTechSymposium24 in Yokohama, Japan. A huge thank you to everyone who joined us on this journey to shape the future of AI!  TSMC Japan President, Makoto Onodera, highlighted TSMC’s continued investment in Japan, including the Japan Design Center (JDC) in Yokohama and Osaka, the 3DIC R&D Center in Tsukuba, and JASM in Kumamoto. These investments demonstrate TSMC's commitment to supporting our customers' needs and unleashing innovation.  In addition to Onodera, we had the honor of inviting Keiji Yamamoto, Senior Fellow of Toyota Motor Corporation, and Chairman of ASRA, to share his insights on the future direction of AI from an automotive perspective, including the need for advanced semiconductor technology to boost automotive performance and intelligence. Yamamoto also emphasized the need for the industry to collaborate as a united team, which he believes will stimulate further revitalization in the semiconductor industry.  Once again, we extend our heartfelt thanks and look forward to seeing you next year!",0.539,POSITIVE,0.9959
10/29/2024,TSMC,"628,491 followers","TSMC aims to improve eco-friendliness and safety among its suppliers. Through the ""Supplier Senior Executive ESH Improvement Program,"" we're empowering supplier executives on all things green and safe. As of May 2024, 17 suppliers have shown a 10% enhancement in factory audit scores and an 85.7% decrease in significant risk issues, reinforcing the sustainability of our supply chain operations. Click to learn more!",0.5224,POSITIVE,0.993
10/29/2024,TSMC,"628,491 followers","Celebrate International Women in Engineering Day with us! TSMC continues to unleash our talents’ potential and boost workforce diversity. Women in STEM positions at TSMC now make up over one third of our permanent workforce.    We’d like to take this moment to recognize and honor all the women working in the semiconductor sector for their passion, dedication and contribution to the industry. We’ll continue to empower and support women to excel and thrive in STEM areas.    Furthermore, we invite you to learn our commitment to providing equal opportunities and fostering a Diversity, Equity and Inclusion TSMC:",0.5142,POSITIVE,0.997
10/29/2024,TSMC,"628,491 followers","Coinciding with Engineer’s Day on June 6th, Women@tsmc hosted a fireside chat, inviting Dr. Lisa Su, Chair and CEO of AMD, to speak with Lora Ho, Senior Vice President of TSMC. During the lively discussion, Dr. Su shared insights on how she transformed AMD, the importance of fostering in the workplace, and the importance of leadership.    She emphasized the need to treat individuals according to their unique needs and encouraged TSMC employees to “create your own luck” by embracing challenges and seeking opportunities to make a difference. Dr. Su also highlighted the strong partnership between AMD and TSMC and their shared value of focusing on people and collaboration. Moving forward, the two companies will continue to work together to advance new technologies.",0.5394,POSITIVE,0.9921
10/22/2024,TSMC,"628,491 followers","Exciting news from TSMC! TSMC has partnered with a silicon wafer supplier to develop a slurry-free slicing method, reducing carbon emissions by over 90%. This environmentally conscious approach enhances the sustainability of semiconductor manufacturing and ensures the flatness of silicon wafers through rigorous testing and adjustments. Let's continue to promote environmental sustainability while upholding quality standards. Click to learn more!",0.5134,POSITIVE,0.9996
10/22/2024,TSMC,"628,491 followers","TSMC is on a mission to boost energy efficiency in line with UN SDGs 7! By upgrading power transformers and implementing high-efficiency fans, we've installed 2,435 transformers in 12 process fabs and one packaging fab, saving 66 million kWh of electricity and dropping carbon emissions by 32,000 metric tons! Click to learn more!",0.5293,POSITIVE,0.9993
10/22/2024,TSMC,"628,491 followers","Silicon-based technology will power automotive innovation for decades to come. With our geo-diversified Fab locations to support chip production across the globe and our continual pursuit of manufacturing excellence, TSMC is the trusted partner for the automotive industry.  Join us as we embrace automotive innovation in the age of AI!",0.5362,POSITIVE,0.9993
10/22/2024,TSMC,"628,491 followers","On International Day for Biological Diversity, TSMC has partnered with external organizations to roll out the ""Eco Plus! Ecological Harmony Program."" Through nurturing wildlife, supporting research talents, and promoting citizen science, TSMC is committed to advancing biodiversity conservation and promoting environmental sustainability. Click to learn more!",0.5061,POSITIVE,0.9966
10/22/2024,TSMC,"628,491 followers","We celebrated the 20th China  hashtag #TSMCTechSymposium last week in Shanghai with unforgettable moments! A record-breaking number of over 1300 attendees gathered together to explore how we can shape the future of AI leveraging TSMC's silicon leadership.  We've captured these wonderful moments in a video that we're excited to share with you.  Remember, our journey continues with the last stop of in Yokohama, Japan, on June 28th! We hope to see you there!",0.5281,POSITIVE,0.9998
10/22/2024,TSMC,"628,491 followers","A big thank you to everyone who joined our Europe Technology Symposium in Amsterdam recently!   At the event, eight of our emerging customers showcased wide-range product innovations in the Innovation Zone. Their innovations range from single board computer, networking, communication to sensing and edge devices, leveraging TSMC’s broad technology platforms.  We invite you to watch the Innovation Zone highlight video to learn more about our customers:,,,,,,, and. We at TSMC are proud to work with these innovators.",0.5283,POSITIVE,0.9981
10/22/2024,TSMC,"628,491 followers","Thank you for joining our Taiwan  hashtag #TSMCTechSymposium24 last week! It was great to see industry elites and partners gathering together to explore how we can shape the future of AI leveraging TSMC's silicon leadership.  Catch up on the event highlights in our recap video! We can't wait to see you at our next stop for in Yokohama, Japan on June 28th!",0.5291,POSITIVE,0.9982
10/22/2024,TSMC,"628,491 followers","Committed to environmental protection, TSMC’s new-generation low-temperature polyimide process prioritizes sustainable practices and eco-friendly chemical management by eliminating harmful substances and fostering supplier-driven innovation. By April, this new material has been introduced in our 5nm, 3nm, and 2nm processes, with plans to enter trial production in the second half of 2024. Click to learn more!",0.5305,POSITIVE,0.9997
10/22/2024,TSMC,"628,491 followers","TSMC's advanced automotive solutions make the future safer, smarter and greener! Learn more about the Software Defined Vehicles of tomorrow: https://lnkd.in/gQnT24Xz",0.5259,POSITIVE,0.9513
10/22/2024,TSMC,"628,491 followers","Today, we celebrated the 20th China  hashtag #TSMCTechSymposium24 in Shanghai. We extend our heartfelt gratitude to the over 1,300 attendees for joining us! Your participation was instrumental to the success of this event!  The President of TSMC China, Roger Luo, addressed the pivotal role of AI applications in everyday life in China, and how the deployment of cutting-edge AI products requires silicon - a domain where TSMC can provide robust support to build a comprehensive and thriving ecosystem.  China's vast AI development and its position as one of the world's largest and most mature markets significantly underpin the growth in the AI industry, particularly in edge computing and inference. At TSMC, we are firmly committed to uniting all silicon partners and together, shaping the future of AI by offering industry-leading technologies and solutions.  Stay tuned for our final stop - Japan in Yokohama, on June 28th!",0.5445,POSITIVE,0.9994
10/22/2024,TSMC,"628,491 followers","What a wonderful day we had at the Taiwan  hashtag #TSMCTechSymposium24 in Hsinchu! This year, we are focusing on how TSMC's leadership is empowering AI in various sectors, including Automotive, IoT, Sensors and Display industries with our advanced and specialty technologies.  Ray Wan, our Asia Pacific Business Director, stated that TSMC continues to be the trusted technology and capacity provider for the global logic IC industry, supporting innovation and mutual future success in the AI Age. Alongside Ray, we are honored to have Dr., Engineering Director, Google. He summarized the potential of Google Cloud and AI assets in enhancing design and manufacturing efficiency in the semiconductor industry.  We're excited for our next stop at China in Shanghai on May 28th. Join us as we continue to shape the future of AI!",0.5526,POSITIVE,0.9981
10/22/2024,TSMC,"628,491 followers","TSMC cares about DEI! To foster a more inclusive and supportive work environment, we've rolled out a six-month ""Accessible Workplace Experience Camp"" that involves occupational therapists in the recruitment process and job redesign to help integrate talents with disabilities into the workplace. Click to learn more!",0.5083,POSITIVE,0.9752
10/22/2024,TSMC,"628,491 followers","To commemorate International Day for Biological Diversity,  hashtag #TSMC today announced the launch of the ""Eco Plus! - Ecological Harmony Program"", which integrates internal and external resources to connect fragmented biological habitats, enhance species survival, and establish a reward system to support potential talents and important ecological research on . The plan aims to accelerate positive action on ecological restoration and nature education in three key areas: habitat, species, and knowledge.  As the challenge of climate change continues to grow, preserving ecosystems and natural environments has become a crucial part of achieving sustainable development. TSMC is committed to creating a balance between technology and the environment, ensuring the of ecosystems and maintenance of biodiversity.  Click here to read more about the actions TSMC is taking to support biodiversity through the “Eco Plus! -Ecological Harmony Program“:",0.5185,POSITIVE,0.9966
10/22/2024,TSMC,"628,491 followers","Thank you all for joining us at the Europe  hashtag #TSMCTechSymposium24 in Amsterdam last week! This year, we highlighted our silicon leadership that powers AI through our leading-edge innovations in advanced logic, specialty, and 3DIC technologies. We also shared our European footprint, ESMC, which will support our customers in driving robust development in the AI age.  We invite you to relive the event's wonderful moments through this video. We greatly appreciate your participation as we gather together to shape the future of AI.  Looking forward to seeing you tomorrow at the Taiwan in Hsinchu!",0.5511,POSITIVE,0.9978
10/15/2024,TSMC,"628,491 followers","“Anywhere that’s leading-edge, TSMC is there.”  While attending the TSMC 2024 Technology Symposium, respected industry analysts,, andshared their biggest takeaways from the event and excitement about TSMC’s newest technologies.  As we enter an AI-empowered world where artificial intelligence is running in data centers, PCs, automobiles, and more, our customers require the very latest technologies, from advanced process to advanced packaging, to enable their innovation. At this year’s Symposium, introduced its newest technology innovations, such as TSMC A16™ process technology with Super Power Rail architecture, NanoFlex ™, System-on-Wafer, and Compact Universal Photonic Engine (COUPE™ ) technology, to power the next wave of innovations.",0.5363,POSITIVE,0.9994
10/15/2024,TSMC,"628,491 followers","When it comes to silicon leadership, we’re introducing Automotive Grade Advanced Packaging, enabling chiplet integration for ECUs and supercharging in-vehicle AI. ECUs can now be defined at the package level with reusability and scalability, helping you deliver your latest innovations more effectively.",0.5228,POSITIVE,0.9992
10/15/2024,TSMC,"628,491 followers","This is a wrap on our Europe flagship event-  hashtag #TSMCTechSymposium24 in Amsterdam today! As we navigate the AI era, this year's focus was on how TSMC’s silicon leadership is powering AI and shaping robust applications in SDV, HPC, and IoT using our advanced and specialty technologies.  Our President of TSMC Europe, Paul de Bot, spoke about the world's most advanced AI running on TSMC's leading technologies. Paul also shared our global footprint expansion to support our customers. ESMC offers best-in-class specialty technologies to support critical market segments, particularly automotive, industrial and IoT applications.  A big thank you to all who participated in the event! We look forward to seeing you at our next stop- Taiwan on May 23rd in Hsinchu!",0.5488,POSITIVE,0.9965
10/15/2024,TSMC,"628,491 followers","Today at the Europe  hashtag #TSMCTechSymposium24, alongside TSMC CEO, Dr. C.C. Wei's keynote, we were honored to have Jochen Hanebeck, CEO of Infineon Technologies, share insights on the future of robust AI ecosystems powered by silicon technologies. Jochen spoke about driving greater energy efficiency in Edge AI and strengthening the European semiconductor ecosystem through close partnership with TSMC.  Infineon, a key player in power systems and IoT, is committed to driving technological advancements and shaping the future of connected systems, making life easier, safer, and greener for all. This aligns with TSMC's dedication to pushing the limits of physics and known elements, to help you build the next big thing through continuous investment in technology R&D.  Next stop for the is Hsinchu, Taiwan! See you soon on May 23rd!",0.5295,POSITIVE,0.9987
10/15/2024,TSMC,"628,491 followers","Thrilled to share that  hashtag #TSMC CEO, Dr. C.C. Wei, delivered an insightful talk at the Europe  hashtag #TSMCTechSymposium24 in Amsterdam today. He talked about the importance of robust AI ecosystems, TSMC’s silicon leadership, and the crucial role of collaborative partnerships in enhancing the AI industry's cost-efficiency and productivity.  With AI becoming increasingly present in our daily lives, C.C. drew attention to the challenges of cost and power consumption in the semiconductor industry. It is vital for TSMC and our partners to foster a sustainable and decarbonized AI ecosystem, emphasizing the importance of deep collaboration with ecosystem partners to shape the future of AI.  We invite you to share your thoughts on sustainability and the AI future in the comments. See you at our next stop, the Taiwan Symposium, on May 23rd in Hsinchu!",0.5395,POSITIVE,0.9984
10/15/2024,TSMC,"628,491 followers","This past week, TSMC Arizona recognized Construction Safety Week 2024. While safety is important every day of the year, Safety Week provides TSMC and all our valued construction trade partners with the opportunity to step back, evaluate our practices in place, and reflect on the theme.  We are grateful to our amazing team of general contractors for organizing an outstanding event. We had 2800 of our trade workforce turn out for safety demonstrations, giveaways from safety and health-themed vendors, lunch and a raffle for some fantastic prizes. We hold safety of our workforce and our project site in the highest regard and firmly believe that everyone plays a role.",0.5294,POSITIVE,0.9987
10/15/2024,TSMC,"628,491 followers","See you in 4 days at our Europe  hashtag #TSMCTechSymposium24 in Amsterdam on May 14th!  In an era where AI is rapidly evolving, the demand for advanced chips has become crucial. At TSMC, we are leaders in silicon technology and dedicated to collaborating with our valued partners to build robust AI ecosystems.  We're excited that 8 emerging customers,,,,,,,,will present their product demos at the Innovation Zone during the Europe Symposium.  Don't miss out on the Innovation Zone and the chance to engage with these companies! Leave a cheer for them in the comments!",0.5351,POSITIVE,0.9976
10/15/2024,TSMC,"628,491 followers","TSMC created an real-time air pollution sensor that reduced the time for data acquisition, detection and response to abnormal pollution sources from one week to just one minute. The system has been implemented in multiple TSMC facilities, including Fab 2 & Fab 5, Fab 15A, Fab 18A, and Fab 18B, underscoring TSMC's commitment to innovation and environmental stewardship. Click to learn more!",0.519,POSITIVE,0.9994
10/15/2024,TSMC,"628,491 followers","A huge thank you to everyone who attended our flagship event,  hashtag #TSMCTechSymposium24, in Santa Clara recently! This year, we featured 17 emerging partners who showcased their products in our Innovation Zone. Their participation was invaluable and vital to the event's success. We're thrilled to collaborate with these partners as we look forward to shaping the future of AI with TSMC's silicon leadership.  Check out the highlight video to get a glimpse of pitches from our partners -,,,,,,,,,,,,,,,  Our next stop will be in Amsterdam, Europe on May 14th. We look forward to seeing you there!",0.5324,POSITIVE,0.9984
10/15/2024,TSMC,"628,491 followers","In the era of pervasive intelligence, collaboration and innovation are paramount, and the TSMC OIP ecosystem exemplifies this power!   A heartfelt thank you to, CEO of, for delivering such an inspiring message at CEO Talk, TSMC's internal training program. During this session, Mr. Ghazi shared insights into Synopsys' dynamic culture and collaborative spirit, highlighting the fruitful partnership between TSMC and Synopsys across three decades and various domains, including IP, EDA, Cloud, and 3DFabric alliances.  The era of pervasive intelligence, as depicted by Mr. Ghazi, is indeed fascinating and captivating. We eagerly anticipate continuing our collaborative journey with all OIP partners as we shape the future together.  Oh, and did we mention? This is just one of the many learning opportunities at TSMC!",0.5109,POSITIVE,0.9995
10/15/2024,TSMC,"628,491 followers","We're still thrilled from 30th anniversary of the North America  hashtag #TSMCTechSymposium24 recently! A record-breaking gathering of over 2,300 attendees came together to understand how TSMC's silicon leadership can empower AI and share ideas for a collaborative AI future.  Look out for our event's sizzle reel video capturing wonderful moments! Comment below if you were part of the event! A big thank you to everyone who joined us and made our event a resounding success.  Next stop, see you in Amsterdam for the Europe on May 14th!",0.5307,POSITIVE,0.9989
10/15/2024,TSMC,"628,491 followers","Accelerate your automotive product cycle with TSMC. Gain unprecedented early access to the world's most advanced logic technology for automotive today with TSMC's  hashtag , and programs.  Make the future safer, smarter and greener with TSMC Automotive.",0.5312,POSITIVE,0.9976
10/15/2024,TSMC,"628,491 followers","We extend our heartfelt thanks to all who joined us at the North America Tech Symposium last week in Santa Clara!  Since 1994, we've been uniting global leaders in the semiconductor industry to discuss pioneering technologies and trends. This year, at the dawn of the AI era, our symposium presented a roadmap of AI's future. As the world’s most advanced AI runs on the world’s most advanced silicon with TSMC’s 7 through 4-nanometer technologies, we demonstrated how TSMC, as a silicon leader, powers AI and unleashes innovation.  Watch our recap video to relive the past 30 years of the event. As we move into the next 30 years, we'll go together, venturing beyond what we believe is possible!  We're heading to Europe in Amsterdam on May 14th for our next stop. We look forward to seeing you there!",0.5462,POSITIVE,0.9995
10/15/2024,TSMC,"628,491 followers","It's a wrap on  hashtag #TSMCTechSymposium24 in Santa Clara! Today at the event, we highlighted TSMC's responsibility in partnering with key players to shape future success in the AI Age.  “Today, the world’s most advanced AI runs on the world’s most advanced silicon, built on TSMC’s 7 through 4-nanometer technologies,” said David Keller, President and CEO of TSMC North America, indicating that AI is ushering in the 4th industrial revolution. As a leader in silicon technology, TSMC is devoted to empowering AI and unleashing innovation through our advanced and specialty technology platform solutions.  This year also marks the 30th anniversary of the TSMC Tech Symposium in North America. At TSMC, we are committed to earning your trust and partnership. Looking ahead, we're excited to explore how AI, supported by silicon, can shape the future in the next 30 years!  See you at our next stop - Technology Workshop, in Austin on May 2nd and in Boston on May 9th!",0.5597,POSITIVE,0.9986
10/15/2024,TSMC,"628,491 followers","TSMC's latest automotive solutions unveiled at 2024 Technology Symposium! With the rise of EVs, next-gen infotainment and intelligent driving systems, TSMC is ready to help you with the world's most advanced semiconductor technology for the automotive industry.  Make the future safer, smarter and greener with TSMC Automotive.",0.5424,POSITIVE,0.9977
10/15/2024,TSMC,"628,491 followers","What an exciting day as we kick off our flagship event,  hashtag #TSMCTechSymposium24, in Santa Clara! This year is particularly special as we’re celebrating the 30th anniversary of the event. We're proud to spotlight TSMC’s leadership role in silicon technology and the collaborations with our outstanding partners that drive the critical innovations powering AI.  We're honored to have, Managing General Partner at, Founder of, and an Adjunct Professor at Stanford University, and, Senior Vice President and Distinguished Engineer at. They joined us at the to discuss AI opportunities and their partnership with TSMC. Andrew shed light on AI as a general-purpose technology with applications across the economy and society and shared major technology trends in AI, including using Agentic AI to drive AI progress. James highlighted how AWS is enabling Generative AI, greatly benefiting from the partnership with TSMC.  TSMC is committed to consistently setting the industry benchmark in powering AI with world-class silicon leadership, supporting and collaborating with partners to drive future success in the AI age.  See you at our next stop - Technology Workshop, in Austin on May 2nd and in Boston on May 9th!",0.5445,POSITIVE,0.9993
10/8/2024,TSMC,"628,491 followers","The TSMC Education and Culture Foundation motivates youth to dream big through programs like the TSMC Udreamer project. In its eighth year, 180 teams signed up, 9 winning NT$3M grants. Proposals range from solving school dropout rates in Malawi to making a satellite for the Latin America Space Challenge. TSMC lends a hand to students determined to change the world. Keep those dreams flying high, students! Click to learn more!",0.5318,POSITIVE,0.999
10/8/2024,TSMC,"628,491 followers","See you in two days at the North American  hashtag #TSMCTechSymposium24!  In the era of AI, we at TSMC are leading the way in silicon technology. Our commitment is to collaborate with remarkable partners and empower AI, paving the way for the mutual success of the AI ecosystem. We're excited to invite you to join us at our Innovation Zone during the event. Here, 17 customers that have collaborated with TSMC will be showcasing their product demos.  We're looking forward to seeing the innovative products of,,,,,,,,,,,,,,,,on April 24th!  Leave a comment to cheer them on!",0.5416,POSITIVE,0.9991
10/8/2024,TSMC,"628,491 followers","We like to think of SDVs as Silicon Defined Vehicles, not just software defined. Now fundamental to automotive innovation, semiconductor technology helps you shape the mobility of tomorrow.  Make the future safer, smarter and greener with TSMC Automotive.",0.521,POSITIVE,0.9997
10/8/2024,TSMC,"628,491 followers","TSMC has established four preschools in Hsinchu, Taichung, and Tainan, catering to employees' children between the ages of two and six. Moreover, we offer daycare services tailored to accommodate our employees' work schedules, serving as a dependable resource for harmonizing their work and family life. Click to learn more!",0.5171,POSITIVE,0.9987
10/8/2024,TSMC,"628,491 followers","TSMC has launched a Supplier Environmental Information Digital Platform to monitor suppliers' carbon footprints and encourage them to go greener. This platform equips suppliers with the necessary resources to improve their environmental assessments. As of March, 429 factories have benefited! Click to learn more!",0.5109,POSITIVE,0.9989
10/8/2024,TSMC,"628,491 followers","Are you excited for the upcoming  hashtag #TSMCTechSymposium24 in Santa Clara on April 24th? Don't miss this opportunity to discover how our leading-edge silicon technology is driving crucial innovations that power AI.  We're eager to know what topic you're most excited about. Vote it and find more at:  Join the conversation with the hashtags , and .",0.5266,POSITIVE,0.9923
10/8/2024,TSMC,"628,491 followers","hashtag #TSMC Arizona’s first fab is on track to begin production leveraging 4nm technology. The second fab will produce the world’s most advanced 2nm process technology with next-generation transistors in addition to the previously announced 3nm technology. Our newly announced third fab will produce chips using 2nm and/or more advanced processes, with production beginning by the end of the decade. Each of the three fabs, like all of TSMC’s advanced fabs, will have area approximately double the size of an industry standard logic fab.  Through increasing our capacity for leading-edge technology at , we will be supporting our customers to unleash innovations in all different fields including , and .  Watch this video to understand more about the exciting we will make possible in , .",0.5406,POSITIVE,0.9976
